Claim_ID,Customer_Age,Policy_Tenure,Claim_Amount,Claim_Type,Previous_Claims,Customer_Income,Marital_Status,Number_of_Dependents,Location,Claim_Submission_Delay,Fraudulent_Claim
1,56,10,3466.3,Home,0,58682,Married,3,Suburban,62,0
2,69,10,26121.17,Auto,4,140359,Divorced,4,Urban,72,0
3,46,4,6659.49,Life,1,175673,Married,2,Urban,64,0
4,32,8,48128.7,Home,2,52850,Divorced,0,Suburban,1,0
5,60,18,14851.28,Auto,1,61132,Single,1,Rural,1,0
6,25,14,42720.74,Home,4,156876,Married,2,Suburban,68,0
7,78,18,19687.42,Auto,3,105061,Single,3,Suburban,73,0
8,38,14,16498.12,Home,0,72034,Single,1,Suburban,36,1
9,56,15,46790.35,Home,0,65061,Widowed,3,Urban,1,0
10,75,4,18484.47,Auto,2,178491,Divorced,1,Rural,60,1
11,36,13,19819.25,Auto,0,174818,Married,4,Suburban,39,0
12,40,8,5751.54,Auto,3,98348,Single,3,Urban,62,0
13,28,18,33687.11,Auto,1,176408,Divorced,1,Urban,24,0
14,28,12,14797.55,Auto,3,134892,Widowed,3,Rural,37,0
15,41,14,29487.41,Auto,2,65952,Divorced,2,Suburban,36,0
16,70,2,29771.91,Auto,2,115996,Divorced,3,Rural,81,0
17,53,18,36100.38,Auto,0,198215,Widowed,3,Suburban,26,0
18,57,2,37389.45,Home,3,145982,Widowed,1,Urban,83,0
19,41,11,25965.4,Auto,1,79379,Widowed,3,Urban,49,0
20,20,9,16884.1,Auto,3,185392,Single,4,Rural,33,0
21,39,12,41953.82,Home,1,126120,Divorced,0,Suburban,43,0
22,70,17,15838.35,Home,1,147852,Widowed,2,Rural,71,0
23,19,15,25621.7,Medical,3,118111,Divorced,1,Suburban,3,1
24,41,17,20362.0,Medical,4,56516,Divorced,3,Rural,51,0
25,61,18,42826.38,Auto,3,91114,Single,3,Urban,54,0
26,47,6,21879.97,Auto,1,142078,Divorced,3,Rural,72,0
27,55,17,19611.91,Medical,2,149657,Single,2,Suburban,11,0
28,19,18,34646.27,Medical,2,81240,Widowed,0,Rural,13,0
29,77,8,30320.83,Life,0,61798,Widowed,4,Suburban,34,0
30,38,9,5808.72,Life,2,138371,Divorced,4,Rural,5,0
31,50,6,25654.36,Auto,4,86473,Single,1,Suburban,46,1
